id,custom_label_3,custom_label_4
FF-RIG8,p4_tail,
FF-RIG7,p4_tail,
FF-RIG6,p4_tail,Rack & Rig Series
FF-RIG5,p4_tail,Rack & Rig Series
FFV-FIDOBP,p4_tail,
FFT-SP,p4_tail,Tahoe Series
FFT-SLE,p1_hero,Tahoe Series
FFV-DCC,p4_tail,
FFV-3D-Smith,p4_tail,
FFT-SLCLE,p1_hero,Tahoe Series
FFT-TAE,p3_catalog,Tahoe Series
FFT-SSC,p2_core,Tahoe Series
FFT-SR,p2_core,Tahoe Series
FF-RIG3,p1_hero,Rack & Rig Series
FFT-SLC,p3_catalog,Tahoe Series
FFT-SHAC,p4_tail,Tahoe Series
FFT-PLSTDP-V2,p4_tail,Tahoe Series
FFT-PLSOP,p3_catalog,Tahoe Series
FFT-PLILLE,p4_tail,Tahoe Series
FFT-PLILKLC,p4_tail,Tahoe Series
FF-RIG21,p3_catalog,Rack & Rig Series
FFT-PLDCP,p4_tail,Tahoe Series
FFT-PLCP,p4_tail,Tahoe Series
FFT-PLCLE,p1_hero,Tahoe Series
FFT-PLC,p2_core,Tahoe Series
FFT-PLBAC,p4_tail,Tahoe Series
FFT-PFRD,p1_hero,Tahoe Series
FFT-PCFR,p4_tail,Tahoe Series
FF-RIG20,p4_tail,Rack & Rig Series
FFT-MHG,p2_core,Tahoe Series
FFT-HAOT,p4_tail,Tahoe Series
FFT-HAIT,p4_tail,Tahoe Series
FFT-LR,p2_core,Tahoe Series
FFT-HAA,p1_hero,Tahoe Series
FFT-LPDLR,p1_hero,Tahoe Series
FFT-HCR,p4_tail,Tahoe Series
FFT-FLP,p3_catalog,Tahoe Series
FFT-DBCT,p1_hero,Tahoe Series
FF-RIG2,p4_tail,Rack & Rig Series
FFT-CSMP,p2_core,Tahoe Series
FFT-CP,p3_catalog,Tahoe Series
FFT-CLP,p3_catalog,Tahoe Series
FFT-BAC,p3_catalog,Tahoe Series
FFS-USRS,p4_tail,
FFS-UB,p4_tail,
FFT-ACLB,p2_core,Tahoe Series
FFT-ACD,p1_hero,Tahoe Series
FFS-TPSD,p4_tail,FFS Silver Series
FFS-TAE,p4_tail,Shasta Series
FFS-SSC,p4_tail,Shasta Series
FF-RIG11,p4_tail,Rack & Rig Series
FFS-SR,p3_catalog,Shasta Series
FFS-SP,p4_tail,Shasta Series
FFS-SM200,p1_hero,SM200 Series
FFS-SLP,p4_tail,FFS Silver Series
FFS-SLE,p3_catalog,Shasta Series
FFS-SLCLE,p1_hero,Shasta Series
FFS-SLC,p3_catalog,Shasta Series
FFS-SHAC,p4_tail,Shasta Series
FFS-PLC,p3_catalog,Shasta Series
FFS-PFRD,p2_core,Shasta Series
FF-RIG10,p4_tail,Rack & Rig Series
FFS-SAC,p4_tail,FFS Silver Series
FFS-PVKR,p4_tail,
FFS-PLSVS,p3_catalog,FFS Silver Series
FFS-PLSCR,p4_tail,FFS Silver Series
FFS-PLCLE,p2_core,Shasta Series
FFS-OMB,p4_tail,FFS Silver Series
FFS-OSR,p4_tail,FFS Silver Series
FF-RH80,p4_tail,
FFS-PF,p4_tail,FFS Silver Series
FF-RIG1,p2_core,
FFS-OIB,p4_tail,FFS Silver Series
FF-RGOP70,p4_tail,
FFS-OFBWH,p4_tail,FFS Silver Series
FFS-OFB,p4_tail,
FF-RGOP395-B,p4_tail,
FF-RGOP350,p1_hero,
FFS-ODB-SILVER,p4_tail,FFS Silver Series
FF-RGOP450,p2_core,
FFS-MHG,p4_tail,Shasta Series
FFS-MAB,p4_tail,
FF-RGOP395-BB,p4_tail,
FFS-LR,p4_tail,Shasta Series
FFS-LPDLR,p2_core,Shasta Series
FF-RGOP305-B,p4_tail,
FFS-LHS,p4_tail,
FFS-LHBP,p4_tail,FFS Silver Series
FF-RGOP260,p2_core,
FFS-HBCC-VKR,p2_core,FFS Silver Series
FFS-HAOT,p4_tail,Shasta Series
FFS-HAA,p2_core,Shasta Series
FF-RGOP235-B,p4_tail,
FFS-HAIT,p4_tail,Shasta Series
FF-RGOP235-BB,p4_tail,
FFS-GM,p4_tail,FFS Silver Series
FF-RGOP190,p4_tail,
