feed,current_id,new_id,product_id,title,in_tims_114
googleshoppingfs,9878869737788,ST-10TRX-20-ATSC,9878869737788,"Star Trac 10 Series Freerunner Treadmill w/20"" Embedded Display - Comm",YES
googleshoppingfs,9878872097084,ST-3140-KINTP0,9878872097084,"Star Trac S Series Upright Bike w/LCD - Black - Commercial Grade, Full",YES
googleshoppingfs,9878873112892,elite6230,9878873112892,"Star Trac Elite 6230 Pro Elliptical - Remanufactured in USA, 1-Year Pa",YES
googleshoppingfs,9878873243964,ST-3150-KINTP0,9878873243964,"Star Trac S Series Recumbent Bike w/LCD - Black - Commercial Grade, Fu",YES
googleshoppingfs,9878874325308,ST-3150-KINTP0-SILVER,9878874325308,Star Trac S Series Recumbent Bike w/LCD - Silver - Remanufactured in U,YES
googleshoppingfs,9878875341116,ST-4060-KINTP0,9878875341116,"Star Trac S Series Cross Trainer w/LCD - Black - Commercial Grade, Ful",YES
googleshoppingfs,9878876029244,ST-4CT-10-TS,9878876029244,"Star Trac 4 Series Cross Trainer w/10"" Touch Display - Black - High-Qu",YES
googleshoppingfs,9878876815676,ST-4CT-10IN,9878876815676,"Star Trac 4 Series Cross Trainer w/10"" LCD - Black - High-Quality, Ful",YES
googleshoppingfs,9878877929788,ST-4CT-15-ATSC,9878877929788,"Star Trac 4 Series Cross Trainer w/15"" Embedded Display - Black - High",YES
googleshoppingfs,9878878519612,ST-4RB-10-TS,9878878519612,"Star Trac 4 Series Recumbent Bike w/10"" Touch Display - Black - High-Q",YES
googleshoppingfs,9878878945596,ST-4RB-10IN,9878878945596,"Star Trac 4 Series Recumbent Bike w/10"" LCD - Black - High-Quality, Fu",YES
googleshoppingfs,9878879830332,ST-4RB-15-ATSC,9878879830332,"Star Trac 4 Series Recumbent Bike w/15"" Embedded Display - Black - Hig",YES
googleshoppingfs,9878880747836,ST-4TR-10-TS,9878880747836,"Star Trac 4 Series Treadmill w/10"" Touch Display - Black - High-Qualit",YES
