feed,product_id,variant_id,current_id,proposed_id,sku,variants_on_product,rollout_status,legacy_gmc_id,in_tims_114
googleshoppingfs,9878920331580,50749191029052,9878920331580,ste-EE4600,ste-EE4600,1,pending_approval_star_trac,,YES
googleshoppingfs,9878920888636,50749191782716,9878920888636,ste-EE5200,ste-EE5200,1,pending_approval_star_trac,,YES
googleshoppingfs,9878921380156,50749192700220,9878921380156,ste-ptbtx,ste-ptbtx,1,pending_approval_star_trac,,YES
googleshoppingfs,9878922494268,50749196435772,9878922494268,ste-rb,ste-rb,1,pending_approval_star_trac,,YES
googleshoppingfs,9878923772220,50749200892220,9878923772220,ste-rbe,ste-rbe,1,pending_approval_star_trac,,YES
googleshoppingfs,9878924230972,50749201645884,9878924230972,ste-sm,ste-sm,1,pending_approval_star_trac,,YES
googleshoppingfs,9878925443388,50749207019836,9878925443388,ste-st,ste-st,1,pending_approval_star_trac,,YES
googleshoppingfs,9878926754108,50749209444668,9878926754108,STE-STe,STE-STe,1,pending_approval_star_trac,,YES
googleshoppingfs,9878927311164,50749210493244,9878927311164,ste-tbt,ste-tbt,1,pending_approval_star_trac,,YES
googleshoppingfs,9878928589116,50749214916924,9878928589116,ste-tr,ste-tr,1,pending_approval_star_trac,,YES
googleshoppingfs,9878929506620,50749219209532,9878929506620,ste-tre,ste-tre,1,pending_approval_star_trac,,YES
googleshoppingfs,9878930129212,50749220225340,9878930129212,ste-trx,ste-trx,1,pending_approval_star_trac,,YES
googleshoppingfs,9878931636540,50749224124732,9878931636540,ste-trxe,ste-trxe,1,pending_approval_star_trac,,YES
googleshoppingfs,9878932324668,50749225402684,9878932324668,ste-ub,ste-ub,1,pending_approval_star_trac,,YES
googleshoppingfs,9878934421820,50749232054588,9878934421820,ste-ube,ste-ube,1,pending_approval_star_trac,,YES
googleshoppingfs,9878935142716,50749233234236,9878935142716,stiac,stiac,1,pending_approval_star_trac,,YES
googleshoppingfs,9878935765308,50749234217276,9878935765308,stidap,stidap,1,pending_approval_star_trac,,YES
googleshoppingfs,9878938321212,50749237526844,9878938321212,STIPL8505,STIPL8505,1,pending_approval_star_trac,,YES
googleshoppingfs,9878939074876,50749238935868,9878939074876,STJohnnySpin,STJohnnySpin,1,pending_approval_star_trac,,YES
googleshoppingfs,9878939992380,50749240246588,9878939992380,STMax,STMax,1,pending_approval_star_trac,,YES
googleshoppingfs,9878943203644,50749244539196,9878943203644,stpro,stpro,1,pending_approval_star_trac,,YES
googleshoppingfs,9878944121148,50749245686076,9878944121148,STProUB,STProUB,1,pending_approval_star_trac,,YES
googleshoppingfs,9878944710972,50749246701884,9878944710972,STPST,STPST,1,pending_approval_star_trac,,YES
googleshoppingfs,9878946349372,50749256696124,9878946349372,STSTRXTreadblack,STSTRXTreadblack,1,pending_approval_star_trac,,YES
googleshoppingfs,9878947627324,50749258891580,9878947627324,sttr4000,sttr4000,1,pending_approval_star_trac,,YES
googleshoppingfs,9878948053308,50749259284796,9878948053308,sttr4500,sttr4500,1,pending_approval_star_trac,,YES
