feed,current_numeric_id,product_id,correct_sku_id,collision,verdict,warning,sku_exists_on_product,product_status,sku_unique_catalogwide
googleshoppingfs,9878909124924,9878909124924,ST-KUSAP3,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878909944124,9878909944124,st4400,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878910763324,9878910763324,ST4TR15IN2024,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878911549756,9878911549756,st5600,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878912172348,9878912172348,st6430,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878912663868,9878912663868,st7600,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878916104508,9878916104508,StarECT,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878918005052,9878918005052,stblade,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878919184700,9878919184700,ste-e-tc,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878920331580,9878920331580,ste-EE4600,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878920888636,9878920888636,ste-EE5200,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878921380156,9878921380156,ste-ptbtx,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878922494268,9878922494268,ste-rb,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878923772220,9878923772220,ste-rbe,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878924230972,9878924230972,ste-sm,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878925443388,9878925443388,ste-st,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878926754108,9878926754108,STE-STe,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878927311164,9878927311164,ste-tbt,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878928589116,9878928589116,ste-tr,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878929506620,9878929506620,ste-tre,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878930129212,9878930129212,ste-trx,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878931636540,9878931636540,ste-trxe,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878932324668,9878932324668,ste-ub,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878934421820,9878934421820,ste-ube,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878935142716,9878935142716,stiac,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878935765308,9878935765308,stidap,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878938321212,9878938321212,STIPL8505,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878939074876,9878939074876,STJohnnySpin,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878939992380,9878939992380,STMax,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878943203644,9878943203644,stpro,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878944121148,9878944121148,STProUB,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878944710972,9878944710972,STPST,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878946349372,9878946349372,STSTRXTreadblack,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878947627324,9878947627324,sttr4000,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,9878948053308,9878948053308,sttr4500,,CHANGE,,YES,ACTIVE,YES
