metaobject_id,name,current,correct,products,product_id,sku,condition_state,status,in_feed_collection
gid://shopify/Metaobject/200336081212,Nautilus Plate Loaded 9NP-L1110 Tilt Seat Calf (New) -- NAU-9NP-L1110-,New,new,1,10238357995836,NAU-9NP-L1110-60BZS,New,ACTIVE,yes
gid://shopify/Metaobject/199436239164,Nautilus Plate Loaded 9NP-L1112 Standing Calf (New) -- NAU-9NP-L1112-6,New,new,1,10233309561148,NAU-9NP-L1112-60BZS,New,ACTIVE,yes
gid://shopify/Metaobject/222044455228,Nautilus Leverage Chest Press 9NP3-L2002-60BZS (New) -- NAU-9NP3-L2002,New,new,1,10279112835388,NAU-9NP3-L2002-60BZS,New,ACTIVE,yes
gid://shopify/Metaobject/127698174268,Nordictrack Commercial 2950 Treadmill (New) -- NT-CT-2950,New,new,1,9878520496444,NT-CT-2950,New,ARCHIVED,no
gid://shopify/Metaobject/127700173116,Octane Pro 3700 Elliptical (New) -- OCTANE-PRO3700,New,new,1,9878524494140,OCTANE-PRO3700,New,ARCHIVED,no
gid://shopify/Metaobject/127701975356,MSpa Mont Blanc P-MB049 Inflatable Spa (New) -- P-MB049,New,new,1,9878534816060,P-MB049,New,ARCHIVED,no
gid://shopify/Metaobject/127710527804,Power Plate Personal (New) -- PP-Personal,New,new,1,9878570991932,PP-Personal,New,ACTIVE,yes
gid://shopify/Metaobject/127712657724,Power Plate Move - Matte Black (New) -- PPMOVE-BLACK,New,new,1,9878581674300,PPMOVE-BLACK,New,ACTIVE,yes
gid://shopify/Metaobject/127712723260,Power Plate Move - Red (New) -- PPMOVE-RED,New,new,1,9878582460732,PPMOVE-RED,New,ACTIVE,yes
gid://shopify/Metaobject/127712788796,Power Plate Move - Silver (New) -- PPMOVE-SILVER,New,new,1,9878583148860,PPMOVE-SILVER,New,ACTIVE,yes
gid://shopify/Metaobject/128613777724,Power Plate Move - Wood Finish (New) -- PPMOVE-WOOD,New,new,1,9878583869756,PPMOVE-WOOD,New,ACTIVE,yes
gid://shopify/Metaobject/127712887100,Precor AMT 885 with Open Stride w/P80 Console (New) -- PRE-AMT885-P80,New,new,1,9878584525116,PRE-AMT885-P80,New,ARCHIVED,no
gid://shopify/Metaobject/127713018172,Precor EFX 635 Elliptical w/Converging Crossramp + p31 Console (New) -,New,new,1,9878585114940,PRE-EFX635-CC-P31,New,ARCHIVED,no
gid://shopify/Metaobject/127713575228,Precor EFX 835 Elliptical w/Converging Crossramp + p31 Console (New) -,New,new,1,9878586097980,PRE-EFX835-CC-P31,New,ARCHIVED,no
gid://shopify/Metaobject/127713673532,Precor EFX 883 Elliptical Cross-Trainer w/p80 Console (New) -- PRE-EFX,New,new,1,9878586655036,PRE-EFX883-CT-P80,New,ARCHIVED,no
gid://shopify/Metaobject/127713739068,Precor EFX 885 Elliptical w/Converging Crossramp + p82 Console (New) -,New,new,1,9878587277628,PRE-EFX885-CC-P82,New,ARCHIVED,no
