Type,Page URL
product,https://www.fitnesssuperstore.com/products/star-trac-6-series-6tr-treadmill-w-16-embedded-display-black-new
product,https://www.fitnesssuperstore.com/products/french-fitness-pl-hack-squat-leg-press-combo
product,https://www.fitnesssuperstore.com/products/body-solid-gcbt380b-cam-series-bicep-tricep-new
product,https://www.fitnesssuperstore.com/products/body-solid-gdip59b-dip-station-new
product,https://www.fitnesssuperstore.com/products/body-solid-s2btpx-series-ii-bicep-and-tricep-machine-new
product,https://www.fitnesssuperstore.com/products/star-trac-8-series-tr-treadmill-w-24-touch-display-new
product,https://www.fitnesssuperstore.com/products/french-fitness-owt10-olympic-weight-tree-storage-rack-new
product,https://www.fitnesssuperstore.com/products/star-trac-8-series-rear-drive-elliptical-w-16-touch-display-new
product,https://www.fitnesssuperstore.com/products/star-trac-8-series-cross-trainer-w-16-touch-display-new
product,https://www.fitnesssuperstore.com/products/star-trac-8-series-cross-trainer-w-led-new
product,https://www.fitnesssuperstore.com/products/life-fitness-signature-series-utility-bench-sub-remanufactured
product,https://www.fitnesssuperstore.com/products/french-fitness-basic-t-shirt-mens-black-new
product,https://www.fitnesssuperstore.com/products/body-solid-s2abbx-series-2-ab-and-back-new
product,https://www.fitnesssuperstore.com/products/french-fitness-t400-commercial-treadmill-w-led-console-new
product,https://www.fitnesssuperstore.com/products/french-fitness-ffb-black-12-stack-multi-jungle-gym-new
product,https://www.fitnesssuperstore.com/products/total-gym-elevate-row-adj-new
product,https://www.fitnesssuperstore.com/products/french-fitness-ffs-silver-12-stack-multi-jungle-gym-new
product,https://www.fitnesssuperstore.com/products/total-gym-elevate-pull-up-new
product,https://www.fitnesssuperstore.com/products/total-gym-elevate-press-new
product,https://www.fitnesssuperstore.com/products/total-gym-rs-lex-new
product,https://www.fitnesssuperstore.com/products/matrix-g3-s76-aura-rotary-hip-remanufactured
product,https://www.fitnesssuperstore.com/products/marpo-kinetics-vmx-vlt-dual-trainer-new
product,https://www.fitnesssuperstore.com/products/marpo-kinetics-x8-compact-rope-trainer-new
product,https://www.fitnesssuperstore.com/products/matrix-lifestyle-elliptical-w-touch-console-remanufactured
product,https://www.fitnesssuperstore.com/products/magnum-5-stack-multi-station-gym-remanufactured
product,https://www.fitnesssuperstore.com/products/true-fitness-vc900-palisade-climber-w-envision-16-touch-console-remanufactured
product,https://www.fitnesssuperstore.com/products/marpo-kinetics-vmx-multi-mode-trainer-w-o-bench-new
product,https://www.fitnesssuperstore.com/products/true-fitness-tsx-elliptical-w-led-console-remanufactured
product,https://www.fitnesssuperstore.com/products/true-fitness-ts1-elliptical-strider-remanufactured
product,https://www.fitnesssuperstore.com/products/true-fitness-psx-elliptical-psxe-remanufactured
product,https://www.fitnesssuperstore.com/products/true-fitness-lc900-recumbent-bike-remanufactured
product,https://www.fitnesssuperstore.com/products/marpo-kinetics-functional-tire-trainer-new
product,https://www.fitnesssuperstore.com/products/true-fitness-es900-treadmill-remanufactured
product,https://www.fitnesssuperstore.com/products/true-fitness-csx-commercial-elliptical-remanufactured
product,https://www.fitnesssuperstore.com/products/marpo-kinetics-dual-x8-tower-system-new
product,https://www.fitnesssuperstore.com/products/true-fitness-cs900-elliptical-w-led-escalate9-console-remanufactured
product,https://www.fitnesssuperstore.com/products/magnum-tbc100-total-body-ergometer-cycle-remanufactured
product,https://www.fitnesssuperstore.com/products/magnum-nexstep-recumbent-stepper-remanufactured
product,https://www.fitnesssuperstore.com/products/french-fitness-24-x-24-eva-interlocking-tiles-new
product,https://www.fitnesssuperstore.com/products/cybex-vr3-hip-abduction-outer-thigh-remanufactured
product,https://www.fitnesssuperstore.com/products/matrix-functional-trainer-g3-msft300-400-remanufactured
product,https://www.fitnesssuperstore.com/products/theracycle-200-remanufactured
product,https://www.fitnesssuperstore.com/products/matrix-ultra-g7-s70-leg-press-remanufactured
product,https://www.fitnesssuperstore.com/products/cybex-vr3-abdominal-remanufactured
product,https://www.fitnesssuperstore.com/products/matrix-g7-s55b-ultra-base-rotary-torso-remanufactured
product,https://www.fitnesssuperstore.com/products/matrix-g3-s70-aura-leg-press-remanufactured
product,https://www.fitnesssuperstore.com/products/body-solid-obss50b-safety-squat-bar-new
product,https://www.fitnesssuperstore.com/products/matrix-g3-aura-g3-s60-dip-chin-assist-remanufactured
product,https://www.fitnesssuperstore.com/products/matrix-g3-aura-g3-s22-rear-delt-pec-fly-remanufactured
product,https://www.fitnesssuperstore.com/products/vectra-on-line-1850-home-gym-remanufactured
product,https://www.fitnesssuperstore.com/products/matrix-g7-s51-abdominal-crunch-remanufactured
product,https://www.fitnesssuperstore.com/products/hoggan-sprint-ube-upper-body-ergometer-remanufactured
product,https://www.fitnesssuperstore.com/products/throwdown-hiit-interval-white-board-magnets-set-of-20-91-00202-new
product,https://www.fitnesssuperstore.com/products/matrix-endurance-stepper-w-touch-console-remanufactured
product,https://www.fitnesssuperstore.com/products/tuffstuff-s-proformance-plus-glute-ham-bench-remanufactured
product,https://www.fitnesssuperstore.com/products/matrix-performance-recumbent-cycle-w-touch-console-remanufactured
product,https://www.fitnesssuperstore.com/products/matrix-magnum-mg-a85-multi-adjustable-bench-remanufactured
product,https://www.fitnesssuperstore.com/products/matrix-performance-hybrid-cycle-w-touch-console-remanufactured
product,https://www.fitnesssuperstore.com/products/technogym-synchro-excite-700-elliptical-w-unity-1-0-console-remanufactured
product,https://www.fitnesssuperstore.com/products/nustep-trs-3000-recumbent-crosstrainer-remanufactured
product,https://www.fitnesssuperstore.com/products/life-fitness-leg-extension-signature-series-remanufactured
product,https://www.fitnesssuperstore.com/products/true-fitness-lc900-elliptical-w-2-window-lcd-remanufactured
product,https://www.fitnesssuperstore.com/products/life-fitness-seated-leg-curl-signature-series-remanufactured
product,https://www.fitnesssuperstore.com/products/life-fitness-insignia-series-leg-extension-remanufactured
product,https://www.fitnesssuperstore.com/products/life-fitness-signature-hip-adduction-inner-thigh-remanufactured
product,https://www.fitnesssuperstore.com/products/true-fitness-cs400-elliptical-w-emerge-console-remanufactured
product,https://www.fitnesssuperstore.com/products/life-fitness-signature-hip-abduction-outer-thigh-remanufactured
product,https://www.fitnesssuperstore.com/products/nustep-trs-4000-t4-recumbent-cross-trainer-remanufactured
product,https://www.fitnesssuperstore.com/products/life-fitness-signature-prone-leg-curl-remanufactured
product,https://www.fitnesssuperstore.com/products/life-fitness-leg-press-signature-series-remanufactured
product,https://www.fitnesssuperstore.com/products/life-fitness-calf-extension-signature-series-fzce-remanufactured
product,https://www.fitnesssuperstore.com/products/life-fitness-row-rear-delt-signature-series-remanufactured
product,https://www.fitnesssuperstore.com/products/life-fitness-signature-cmrw-cable-motion-dual-row-remanufactured
product,https://www.fitnesssuperstore.com/products/life-fitness-signature-cmpd-cable-motion-lat-pulldown-remanufactured
product,https://www.fitnesssuperstore.com/products/technogym-top-xt-pro-ube-remanufactured
product,https://www.fitnesssuperstore.com/products/life-fitness-signature-cmcsp-cable-motion-shoulder-press-remanufactured
product,https://www.fitnesssuperstore.com/products/life-fitness-signature-cmcp-cable-motion-chest-press-remanufactured
product,https://www.fitnesssuperstore.com/products/life-fitness-chest-press-signature-series-remanufactured
product,https://www.fitnesssuperstore.com/products/technogym-artis-upright-bike-2-0-w-unity-console-remanufactured
product,https://www.fitnesssuperstore.com/products/true-fitness-ti1000-alpine-runner-w-emerge-console-remanufactured
product,https://www.fitnesssuperstore.com/products/true-fitness-cs800-recumbent-bike-w-lcd-touch-screen-remanufactured
product,https://www.fitnesssuperstore.com/products/body-solid-kbcs275-premium-kettlebell-set-5-to-50-lbs-new
product,https://www.fitnesssuperstore.com/products/life-fitness-signature-bosu-vkr-leg-raise-remanufactured
product,https://www.fitnesssuperstore.com/products/true-fitness-cs600-treadmill-w-16-transcend-lcd-touch-screen-remanufactured
product,https://www.fitnesssuperstore.com/products/life-fitness-t5-treadmill-w-advanced-console-remanufactured
product,https://www.fitnesssuperstore.com/products/true-fitness-cs400-treadmill-w-escalate-15-console-remanufactured
product,https://www.fitnesssuperstore.com/products/life-fitness-synrgy360xs-system-versa-package-remanufactured
product,https://www.fitnesssuperstore.com/products/true-fitness-cs200-elliptical-remanufactured
product,https://www.fitnesssuperstore.com/products/true-fitness-ti1000-alpine-runner-w-envision-16-console-remanufactured
product,https://www.fitnesssuperstore.com/products/matrix-abdominal-crunch-remanufactured
product,https://www.fitnesssuperstore.com/products/true-fitness-750r-recumbent-bike-remanufactured
product,https://www.fitnesssuperstore.com/products/life-fitness-signature-series-smith-machine-remanufactured
product,https://www.fitnesssuperstore.com/products/true-fitness-750e-elliptical-remanufactured
product,https://www.fitnesssuperstore.com/products/french-fitness-wr40-water-rowing-machine-rower-new
product,https://www.fitnesssuperstore.com/products/true-fitness-ztx-550-hrc-soft-select-treadmill-remanufactured
product,https://www.fitnesssuperstore.com/products/life-fitness-mj5-multi-jungle-signature-series-remanufactured
product,https://www.fitnesssuperstore.com/products/true-fitness-xc900-elliptical-w-transcend-16-console-remanufactured
product,https://www.fitnesssuperstore.com/products/life-fitness-mj4-multi-jungle-signature-series-remanufactured
product,https://www.fitnesssuperstore.com/products/sportsart-xt10-recumbent-bike-remanufactured
product,https://www.fitnesssuperstore.com/products/octane-fitness-zr7-zero-runner-remanufactured
product,https://www.fitnesssuperstore.com/products/body-solid-plm180x-powerline-lat-machine-new
product,https://www.fitnesssuperstore.com/products/french-fitness-ff-gt10s-gym-timer-w-stand-remote-new
product,https://www.fitnesssuperstore.com/products/french-fitness-ffb-black-seated-leg-extension-new
product,https://www.fitnesssuperstore.com/products/french-fitness-ff-gt10-gym-timer-w-remote-new
product,https://www.fitnesssuperstore.com/products/body-solid-plce165x-powerline-leg-extension-curl-machine-new
product,https://www.fitnesssuperstore.com/products/bowflex-xtreme-home-gym-remanufactured
product,https://www.fitnesssuperstore.com/products/french-fitness-ffb-black-seated-leg-curl-new
product,https://www.fitnesssuperstore.com/products/sportsart-xt20-xtrainer-recumbent-bike-remanufactured
product,https://www.fitnesssuperstore.com/products/french-fitness-ffb-black-single-stack-abdominal-crunch-new
product,https://www.fitnesssuperstore.com/products/french-fitness-gym-chalk-bag-new
product,https://www.fitnesssuperstore.com/products/french-fitness-gym-chalk-set-of-8-new
product,https://www.fitnesssuperstore.com/products/french-fitness-ffb-black-prone-leg-curl-new
product,https://www.fitnesssuperstore.com/products/octane-fitness-xr6000-seated-elliptical-remanufactured
product,https://www.fitnesssuperstore.com/products/octane-fitness-xride-xr6-seated-elliptical-remanufactured
product,https://www.fitnesssuperstore.com/products/french-fitness-ffb-black-olympic-military-bench-new
product,https://www.fitnesssuperstore.com/products/octane-fitness-xr5000-seated-elliptical-remanufactured
product,https://www.fitnesssuperstore.com/products/french-fitness-8-lb-free-weight-sandbag-bell-new
product,https://www.fitnesssuperstore.com/products/french-fitness-6-lb-free-weight-sandbag-bell-new
product,https://www.fitnesssuperstore.com/products/nautilus-inspiration-glute-press-9-ipgm5-60aas-new
product,https://www.fitnesssuperstore.com/products/nautilus-impact-kneeling-leg-curl-9na-s1311-60ags-new
product,https://www.fitnesssuperstore.com/products/body-solid-rb47-standard-curl-bar-chrome-new
product,https://www.fitnesssuperstore.com/products/body-solid-r300-endurance-rower-new
product,https://www.fitnesssuperstore.com/products/body-solid-pvlp156x-powerline-vertical-leg-press-new
product,https://www.fitnesssuperstore.com/products/nautilus-inspiration-vertical-row-9-ipvr5-60bz-new
